NaN,NaN,NaN,NaN,NaN,NaN,0.020,0.022,0.025,0.027,0.029,0.031,0.033,0.036,0.037,0.039,0.042,0.044,0.043,0.043,0.045,0.048,0.049,0.049,0.049,0.049,0.049,0.049,0.051,0.051,0.049,0.049,NaN,0.051,0.049,0.049,0.048,0.046,0.047,0.045,0.044,0.044,0.043,0.041,0.039,0.037,0.036,0.036,0.034,0.031,0.030,0.027,0.026,0.024,0.020,0.018,0.018,0.016,0.013,NaN,NaN,NaN,NaN,NaN,370583045.000
NaN,NaN,NaN,NaN,NaN,NaN,0.000,-0.001,0.000,0.000,-0.001,-0.001,-0.000,-0.001,-0.001,0.001,0.000,0.000,-0.001,-0.000,0.002,0.000,-0.000,-0.000,0.001,0.000,0.000,-0.001,-0.000,0.000,0.001,0.000,NaN,0.000,0.001,-0.001,0.002,-0.001,-0.001,0.000,0.002,-0.002,0.000,-0.000,-0.001,-0.001,0.001,-0.000,0.001,-0.000,0.000,-0.001,0.001,0.001,0.001,-0.000,-0.001,-0.000,0.001,NaN,NaN,NaN,NaN,NaN,370583187.000
NaN,NaN,NaN,NaN,NaN,NaN,0.019,0.019,0.018,0.013,0.008,-0.001,-0.008,-0.019,-0.025,-0.035,-0.039,-0.043,-0.042,-0.040,-0.033,-0.030,-0.017,-0.004,0.007,0.019,0.029,0.038,0.049,0.051,0.053,0.052,NaN,0.034,0.026,0.013,-0.002,-0.014,-0.025,-0.035,-0.045,-0.047,-0.052,-0.048,-0.042,-0.034,-0.025,-0.017,-0.003,0.007,0.016,0.023,0.028,0.030,0.031,0.029,0.025,0.021,0.014,NaN,NaN,NaN,NaN,NaN,370583191.000
NaN,NaN,NaN,NaN,NaN,NaN,0.021,0.023,0.024,0.023,0.020,0.012,0.007,-0.005,-0.013,-0.023,-0.034,-0.039,-0.043,-0.043,-0.041,-0.037,-0.027,-0.015,-0.000,0.011,0.024,0.035,0.045,0.051,0.053,0.052,NaN,0.036,0.024,0.010,-0.004,-0.017,-0.029,-0.039,-0.049,-0.053,-0.052,-0.046,-0.036,-0.028,-0.017,-0.005,0.008,0.018,0.026,0.031,0.034,0.035,0.031,0.026,0.021,0.011,0.007,NaN,NaN,NaN,NaN,NaN,370583193.000
NaN,NaN,NaN,NaN,NaN,NaN,0.020,0.021,0.021,0.016,0.012,0.004,-0.004,-0.013,-0.023,-0.032,-0.038,-0.043,-0.043,-0.041,-0.037,-0.031,-0.019,-0.007,0.006,0.018,0.031,0.039,0.050,0.051,0.051,0.049,NaN,0.034,0.022,0.008,-0.007,-0.020,-0.030,-0.039,-0.046,-0.048,-0.051,-0.046,-0.037,-0.030,-0.019,-0.007,0.005,0.015,0.022,0.030,0.033,0.034,0.031,0.028,0.022,0.014,0.010,NaN,NaN,NaN,NaN,NaN,370583196.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.013,-0.008,0.001,0.010,0.020,0.027,0.033,0.036,0.032,0.024,0.013,-0.002,-0.017,-0.031,-0.038,-0.046,-0.047,-0.043,-0.030,-0.016,0.000,0.017,0.037,0.045,0.052,0.052,NaN,0.033,0.015,-0.002,-0.021,-0.035,-0.046,-0.051,-0.048,-0.042,-0.032,-0.015,0.002,0.018,0.030,0.040,0.043,0.039,0.033,0.023,0.010,-0.001,-0.012,-0.020,-0.024,-0.024,-0.021,NaN,NaN,NaN,NaN,NaN,370583242.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.006,-0.000,0.007,0.016,0.026,0.031,0.033,0.030,0.027,0.016,0.004,-0.012,-0.025,-0.035,-0.041,-0.050,-0.045,-0.036,-0.022,-0.011,0.011,0.023,0.042,0.049,0.052,0.050,NaN,0.028,0.013,-0.005,-0.023,-0.036,-0.046,-0.050,-0.051,-0.042,-0.030,-0.014,0.000,0.017,0.028,0.040,0.041,0.040,0.035,0.026,0.013,0.002,-0.007,-0.017,-0.021,-0.024,-0.022,NaN,NaN,NaN,NaN,NaN,370583294.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.020,-0.022,-0.023,-0.023,-0.023,-0.023,-0.018,-0.017,-0.013,-0.009,-0.003,0.002,0.009,0.014,0.019,0.027,0.033,0.037,0.041,0.043,0.048,0.051,0.052,0.053,0.052,0.051,NaN,0.042,0.038,0.033,0.029,0.018,0.014,0.009,-0.001,-0.008,-0.013,-0.020,-0.024,-0.030,-0.032,-0.035,-0.038,-0.040,-0.040,-0.038,-0.036,-0.034,-0.030,-0.026,-0.024,-0.019,-0.016,NaN,NaN,NaN,NaN,NaN,370583346.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.018,-0.021,-0.019,-0.018,-0.018,-0.014,-0.012,-0.009,-0.001,0.002,0.005,0.011,0.016,0.021,0.029,0.032,0.039,0.042,0.046,0.048,0.051,0.053,0.051,0.050,0.050,0.049,NaN,0.041,0.035,0.032,0.026,0.019,0.012,0.008,0.001,-0.006,-0.012,-0.018,-0.023,-0.029,-0.031,-0.034,-0.037,-0.037,-0.039,-0.036,-0.037,-0.032,-0.031,-0.027,-0.025,-0.022,-0.019,NaN,NaN,NaN,NaN,NaN,370583396.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.019,-0.019,-0.020,-0.020,-0.019,-0.017,-0.015,-0.012,-0.008,-0.002,0.003,0.007,0.013,0.018,0.024,0.030,0.036,0.040,0.041,0.047,0.049,0.052,0.052,0.051,0.052,0.049,NaN,0.044,0.040,0.035,0.029,0.024,0.020,0.013,0.005,-0.001,-0.007,-0.014,-0.018,-0.024,-0.028,-0.031,-0.034,-0.036,-0.037,-0.036,-0.035,-0.034,-0.031,-0.029,-0.026,-0.022,-0.019,NaN,NaN,NaN,NaN,NaN,370583448.000
