NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.011,0.001,-0.010,-0.019,-0.026,-0.028,-0.022,-0.009,0.006,0.024,0.033,0.038,0.031,0.017,0.002,-0.019,-0.035,-0.044,-0.040,-0.029,-0.011,0.011,0.030,0.042,0.047,NaN,0.022,-0.002,-0.022,-0.038,-0.043,-0.040,-0.027,-0.009,0.013,0.034,0.040,0.040,0.032,0.014,-0.002,-0.020,-0.030,-0.034,-0.029,-0.017,-0.004,0.008,0.018,0.022,0.020,0.015,NaN,NaN,NaN,NaN,NaN,376595282.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.008,-0.001,0.005,0.011,0.021,0.026,0.028,0.026,0.024,0.015,0.003,-0.012,-0.022,-0.031,-0.036,-0.043,-0.037,-0.031,-0.015,-0.004,0.012,0.025,0.038,0.046,0.045,0.039,NaN,0.020,0.005,-0.012,-0.028,-0.037,-0.042,-0.044,-0.039,-0.031,-0.017,-0.002,0.012,0.024,0.031,0.038,0.037,0.031,0.023,0.014,0.003,-0.007,-0.015,-0.021,-0.021,-0.022,-0.017,NaN,NaN,NaN,NaN,NaN,376595334.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.001,0.005,0.012,0.018,0.024,0.026,0.026,0.024,0.019,0.006,-0.004,-0.014,-0.025,-0.035,-0.038,-0.042,-0.036,-0.028,-0.017,-0.004,0.011,0.022,0.037,0.042,0.047,0.042,NaN,0.025,0.011,-0.003,-0.019,-0.030,-0.040,-0.043,-0.043,-0.039,-0.029,-0.016,-0.003,0.007,0.021,0.029,0.033,0.035,0.032,0.026,0.019,0.007,-0.002,-0.010,-0.015,-0.018,-0.019,NaN,NaN,NaN,NaN,NaN,376595386.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.013,-0.008,-0.002,0.006,0.018,0.022,0.029,0.029,0.027,0.020,0.008,-0.004,-0.016,-0.027,-0.034,-0.043,-0.039,-0.032,-0.018,-0.003,0.013,0.026,0.041,0.045,0.045,0.039,NaN,0.013,-0.004,-0.020,-0.036,-0.042,-0.045,-0.042,-0.032,-0.021,-0.004,0.011,0.024,0.032,0.036,0.040,0.031,0.021,0.009,-0.003,-0.014,-0.021,-0.024,-0.026,-0.022,-0.015,-0.008,NaN,NaN,NaN,NaN,NaN,376595439.000
NaN,NaN,NaN,NaN,NaN,NaN,0.008,0.013,0.020,0.022,0.026,0.024,0.020,0.013,0.003,-0.007,-0.018,-0.028,-0.034,-0.037,-0.037,-0.037,-0.027,-0.015,0.000,0.012,0.025,0.033,0.043,0.046,0.043,0.036,NaN,0.011,-0.000,-0.014,-0.027,-0.038,-0.044,-0.046,-0.041,-0.035,-0.023,-0.010,0.004,0.014,0.024,0.035,0.036,0.037,0.029,0.023,0.014,0.005,-0.003,-0.010,-0.015,-0.017,-0.017,NaN,NaN,NaN,NaN,NaN,376595490.000
NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.008,0.014,0.019,0.025,0.026,0.025,0.022,0.014,0.003,-0.009,-0.020,-0.029,-0.035,-0.039,-0.041,-0.034,-0.025,-0.012,-0.001,0.016,0.027,0.040,0.045,0.044,0.041,NaN,0.020,0.006,-0.009,-0.024,-0.033,-0.040,-0.044,-0.042,-0.036,-0.025,-0.013,0.002,0.014,0.024,0.033,0.035,0.036,0.030,0.024,0.014,0.004,-0.006,-0.012,-0.016,-0.019,-0.019,NaN,NaN,NaN,NaN,NaN,376595541.000
NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.018,0.021,0.022,0.022,0.018,0.011,0.003,-0.007,-0.017,-0.025,-0.034,-0.036,-0.037,-0.035,-0.034,-0.025,-0.014,-0.001,0.010,0.023,0.034,0.044,0.045,0.046,0.041,NaN,0.023,0.011,0.000,-0.014,-0.024,-0.035,-0.042,-0.044,-0.042,-0.038,-0.032,-0.020,-0.008,0.002,0.014,0.022,0.028,0.032,0.031,0.030,0.025,0.017,0.011,0.004,-0.002,-0.008,NaN,NaN,NaN,NaN,NaN,376595593.000
NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.018,0.022,0.022,0.019,0.017,0.008,0.001,-0.009,-0.017,-0.027,-0.032,-0.037,-0.038,-0.035,-0.031,-0.023,-0.010,0.001,0.014,0.025,0.033,0.041,0.044,0.046,0.042,NaN,0.024,0.009,-0.002,-0.016,-0.027,-0.035,-0.042,-0.042,-0.043,-0.037,-0.028,-0.018,-0.006,0.004,0.017,0.024,0.030,0.032,0.031,0.029,0.023,0.016,0.010,0.002,-0.003,-0.009,NaN,NaN,NaN,NaN,NaN,376595645.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.013,-0.007,-0.000,0.008,0.016,0.023,0.029,0.030,0.028,0.020,0.009,-0.002,-0.016,-0.028,-0.036,-0.040,-0.040,-0.033,-0.023,-0.008,0.008,0.021,0.037,0.043,0.045,0.042,NaN,0.019,0.007,-0.013,-0.028,-0.038,-0.043,-0.045,-0.038,-0.030,-0.018,-0.001,0.013,0.026,0.032,0.039,0.033,0.031,0.021,0.009,-0.001,-0.012,-0.019,-0.023,-0.023,-0.020,-0.014,NaN,NaN,NaN,NaN,NaN,376595696.000
NaN,NaN,NaN,NaN,NaN,NaN,0.012,0.016,0.022,0.021,0.023,0.019,0.015,0.009,0.001,-0.011,-0.020,-0.030,-0.036,-0.039,-0.036,-0.037,-0.027,-0.018,-0.003,0.006,0.020,0.030,0.043,0.047,0.045,0.041,NaN,0.026,0.011,-0.002,-0.017,-0.024,-0.035,-0.044,-0.043,-0.042,-0.039,-0.026,-0.014,-0.003,0.006,0.019,0.025,0.032,0.032,0.033,0.028,0.021,0.014,0.007,-0.002,-0.008,-0.011,NaN,NaN,NaN,NaN,NaN,376595748.000
